release_date,title
1995-10-30,Toy Story
1995-12-15,Jumanji
1995-12-22,Grumpier Old Men
1995-12-22,Waiting to Exhale
1995-02-10,Father of the Bride Part II
1995-12-15,Heat
1995-12-15,Sabrina
1995-12-22,Tom and Huck
1995-12-22,Sudden Death
1995-11-16,GoldenEye
1995-11-17,The American President
1995-12-22,Dracula: Dead and Loving It
1995-12-22,Balto
1995-12-22,Nixon
1995-12-22,Cutthroat Island
1995-11-22,Casino
1995-12-13,Sense and Sensibility
1995-12-09,Four Rooms
1995-11-10,Ace Ventura: When Nature Calls
1995-11-21,Money Train
1995-10-20,Get Shorty
1995-10-27,Copycat
1995-10-06,Assassins
1995-10-27,Powder
1995-10-27,Leaving Las Vegas
1995-12-15,Othello
1995-10-20,Now and Then
1995-09-27,Persuasion
1995-05-16,The City of Lost Children
1995-04-30,Shanghai Triad
1995-08-11,Dangerous Minds
1995-12-29,Twelve Monkeys
1996-09-18,Wings of Courage
1995-07-18,Babe
1995-11-08,Carrington
1995-12-29,Dead Man Walking
1995-10-20,Across the Sea of Time
1995-11-17,It Takes Two
1995-07-19,Clueless
1995-12-15,"Cry, the Beloved Country"
1995-12-29,Richard III
1995-10-06,Dead Presidents
1995-12-29,Restoration
1995-08-18,Mortal Kombat
1995-05-20,To Die For
1995-10-06,How To Make An American Quilt
1995-09-22,Se7en
1995-06-14,Pocahontas
1995-05-05,When Night Is Falling
1995-07-19,The Usual Suspects
1994-11-22,Guardian Angel
1995-09-13,Mighty Aphrodite
1994-01-01,Lamerica
1995-09-29,The Big Green
1995-05-19,Georgia
1997-07-08,Kids of the Round Table
1995-11-02,Home for the Holidays
1994-09-22,The Postman
1995-09-29,The Confessional
1995-07-14,The Indian in the Cupboard
1996-01-12,Eye for an Eye
1995-12-29,Mr. Holland's Opus
1996-01-12,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
1996-01-12,Two If by Sea
1996-01-12,Bio-Dome
1996-01-12,Lawnmower Man 2: Beyond Cyberspace
1995-10-22,Two Bits
1995-02-08,French Twist
1995-04-26,Friday
1996-01-19,From Dusk Till Dawn
1995-11-03,Fair Game
1995-10-06,Kicking and Screaming
1995-03-22,Les Miserables
1996-01-26,Bed of Roses
1996-01-26,Big Bully
1995-09-08,Screamers
1995-02-18,Nico Icon
1995-11-15,The Crossing Guard
1996-02-02,The Juror
1995-01-01,The White Balloon
1995-12-01,Things to Do in Denver When You're Dead
1995-09-12,Antonia's Line
