title,release_date,budget,revenue,return,directores
Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011,John Lasseter
Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346,Joe Johnston
Grumpier Old Men,1995-12-22,0.0,0.0,0.0,Howard Deutch
Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975,Forest Whitaker
Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0,Charles Shyer
Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667,Michael Mann
Sabrina,1995-12-15,58000000.0,0.0,0.0,Sydney Pollack
Tom and Huck,1995-12-22,0.0,0.0,0.0,Peter Hewitt
Sudden Death,1995-12-22,35000000.0,64350171.0,1.8385763142857143,Peter Hyams
GoldenEye,1995-11-16,58000000.0,352194034.0,6.072310931034483,Martin Campbell
The American President,1995-11-17,62000000.0,107879496.0,1.739991870967742,Rob Reiner
Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0,Mel Brooks
Balto,1995-12-22,0.0,11348324.0,0.0,Simon Wells
Nixon,1995-12-22,44000000.0,13681765.0,0.3109492045454545,Oliver Stone
Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1022175714285714,Renny Harlin
Casino,1995-11-22,52000000.0,116112375.0,2.2329302884615383,Martin Scorsese
Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.181818181818182,Ang Lee
Four Rooms,1995-12-09,4000000.0,4300000.0,1.075,Quentin Tarantino
Four Rooms,1995-12-09,4000000.0,4300000.0,1.075,Alexandre Rockwell
Four Rooms,1995-12-09,4000000.0,4300000.0,1.075,Robert Rodriguez
Four Rooms,1995-12-09,4000000.0,4300000.0,1.075,Allison Anders
Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.079517766666667,Steve Oedekerk
Money Train,1995-11-21,60000000.0,35431113.0,0.59051855,Joseph Ruben
Get Shorty,1995-10-20,30250000.0,115101622.0,3.805012297520661,Barry Sonnenfeld
Copycat,1995-10-27,0.0,0.0,0.0,Jon Amiel
Assassins,1995-10-06,50000000.0,30303072.0,0.60606144,Richard Donner
Powder,1995-10-27,0.0,0.0,0.0,Victor Salva
Leaving Las Vegas,1995-10-27,3600000.0,49800000.0,13.833333333333334,Mike Figgis
Othello,1995-12-15,0.0,0.0,0.0,Oliver Parker
Now and Then,1995-10-20,12000000.0,27400000.0,2.283333333333333,Lesli Linka Glatter
Persuasion,1995-09-27,0.0,0.0,0.0,Roger Michell
The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895,Marc Caro
The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895,Jean-Pierre Jeunet
Shanghai Triad,1995-04-30,0.0,0.0,0.0,Zhang Yimou
Dangerous Minds,1995-08-11,0.0,180000000.0,0.0,John N. Smith
Twelve Monkeys,1995-12-29,29500000.0,168840000.0,5.7233898305084745,Terry Gilliam
Wings of Courage,1996-09-18,0.0,0.0,0.0,Jean-Jacques Annaud
Babe,1995-07-18,30000000.0,254134910.0,8.471163666666667,Chris Noonan
Carrington,1995-11-08,0.0,0.0,0.0,Christopher Hampton
Dead Man Walking,1995-12-29,11000000.0,39363635.0,3.5785122727272727,Tim Robbins
Across the Sea of Time,1995-10-20,0.0,0.0,0.0,Stephen Low
It Takes Two,1995-11-17,0.0,0.0,0.0,Andy Tennant
Clueless,1995-07-19,12000000.0,0.0,0.0,Amy Heckerling
"Cry, the Beloved Country",1995-12-15,0.0,676525.0,0.0,Darrell James Roodt
Richard III,1995-12-29,0.0,0.0,0.0,Richard Loncraine
Dead Presidents,1995-10-06,10000000.0,0.0,0.0,Allen Hughes
Dead Presidents,1995-10-06,10000000.0,0.0,0.0,Albert Hughes
Restoration,1995-12-29,19000000.0,0.0,0.0,Michael Hoffman
Mortal Kombat,1995-08-18,18000000.0,122195920.0,6.788662222222222,Paul W.S. Anderson
To Die For,1995-05-20,20000000.0,21284514.0,1.0642257,Gus Van Sant
How To Make An American Quilt,1995-10-06,10000000.0,23574130.0,2.357413,Jocelyn Moorhouse
Se7en,1995-09-22,33000000.0,327311859.0,9.91854118181818,David Fincher
Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909,Mike Gabriel
Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909,Eric Goldberg
When Night Is Falling,1995-05-05,0.0,0.0,0.0,Patricia Rozema
The Usual Suspects,1995-07-19,6000000.0,23341568.0,3.890261333333333,Bryan Singer
Guardian Angel,1994-11-22,0.0,0.0,0.0,Richard W. Munchkin
Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.4466666666666666,Woody Allen
Lamerica,1994-01-01,0.0,0.0,0.0,Gianni Amelio
The Big Green,1995-09-29,0.0,0.0,0.0,Holly Goldberg Sloan
Georgia,1995-05-19,0.0,0.0,0.0,Ulu Grosbard
Kids of the Round Table,1997-07-08,0.0,0.0,0.0,Robert Tinnell
Home for the Holidays,1995-11-02,0.0,17519169.0,0.0,Jodie Foster
The Postman,1994-09-22,0.0,0.0,0.0,Michael Radford
The Confessional,1995-09-29,0.0,0.0,0.0,Robert Lepage
The Indian in the Cupboard,1995-07-14,45000000.0,0.0,0.0,Frank Oz
Eye for an Eye,1996-01-12,20000000.0,0.0,0.0,John Schlesinger
Mr. Holland's Opus,1995-12-29,0.0,106269971.0,0.0,Stephen Herek
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0.0,0.0,Paris Barclay
Two If by Sea,1996-01-12,0.0,0.0,0.0,Bill Bennett
Bio-Dome,1996-01-12,15000000.0,0.0,0.0,Jason Bloom
Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0.0,2409225.0,0.0,Farhad Mann
Two Bits,1995-10-22,0.0,0.0,0.0,James Foley
French Twist,1995-02-08,0.0,0.0,0.0,Josiane Balasko
Friday,1995-04-26,3500000.0,28215918.0,8.061690857142857,F. Gary Gray
From Dusk Till Dawn,1996-01-19,19000000.0,25836616.0,1.359821894736842,Robert Rodriguez
Fair Game,1995-11-03,50000000.0,11534477.0,0.23068954,Andrew Sipes
Kicking and Screaming,1995-10-06,0.0,718490.0,0.0,Noah Baumbach
Les Miserables,1995-03-22,0.0,0.0,0.0,Claude Lelouch
Bed of Roses,1996-01-26,0.0,19030691.0,0.0,Michael Goldenberg
Big Bully,1996-01-26,15000000.0,2042530.0,0.1361686666666666,Steve Miner
Screamers,1995-09-08,20000000.0,5781885.0,0.28909425,Christian Duguay
Nico Icon,1995-02-18,0.0,0.0,0.0,Susanne Ofteringer
The Crossing Guard,1995-11-15,0.0,0.0,0.0,Sean Penn
The Juror,1996-02-02,44000000.0,0.0,0.0,Brian Gibson
The White Balloon,1995-01-01,0.0,0.0,0.0,Jafar Panahi
Things to Do in Denver When You're Dead,1995-12-01,8000000.0,529766.0,0.06622075,Gary Fleder
Antonia's Line,1995-09-12,900000.0,0.0,0.0,Marleen Gorris
Once Upon a Time... When We Were Colored,1996-01-26,0.0,0.0,0.0,Tim Reid
Last Summer in the Hamptons,1995-11-22,0.0,0.0,0.0,Henry Jaglom
Angels and Insects,1995-09-10,0.0,0.0,0.0,Philip Haas
White Squall,1996-02-02,38000000.0,10300000.0,0.2710526315789474,Ridley Scott
Dunston Checks In,1996-01-12,16000000.0,0.0,0.0,Ken Kwapis
Black Sheep,1996-02-01,0.0,32.0,0.0,Penelope Spheeris
Nick of Time,1995-11-22,8169363.0,8175346.0,1.000732370443081,John Badham
The Journey of August King,1995-09-14,0.0,0.0,0.0,John Duigan
Mary Reilly,1996-02-23,47000000.0,12379402.0,0.2633915319148936,Stephen Frears
Vampire in Brooklyn,1995-10-26,14000000.0,19800000.0,1.4142857142857144,Wes Craven
