release_year,title,popularity
1995,Toy Story,21.946943
1995,Jumanji,17.015539
1995,Grumpier Old Men,11.7129
1995,Waiting to Exhale,3.859495
1995,Father of the Bride Part II,8.387519
1995,Heat,17.924927
1995,Sabrina,6.677277
1995,Tom and Huck,2.561161
1995,Sudden Death,5.23158
1995,GoldenEye,14.686036
1995,The American President,6.318445
1995,Dracula: Dead and Loving It,5.430331
1995,Balto,12.140733
1995,Nixon,5.092
1995,Cutthroat Island,7.284477
1995,Casino,10.137389
1995,Sense and Sensibility,10.673167
1995,Four Rooms,9.026586
1995,Ace Ventura: When Nature Calls,8.205448
1995,Money Train,7.337906
1995,Get Shorty,12.669608
1995,Copycat,10.701801
1995,Assassins,11.065939
1995,Powder,12.133094
1995,Leaving Las Vegas,10.332025
1995,Othello,1.845899
1995,Now and Then,8.681325
1995,Persuasion,2.228434
1995,The City of Lost Children,9.822423
1995,Shanghai Triad,1.100915
1995,Dangerous Minds,9.481338
1995,Twelve Monkeys,12.297305
1996,Wings of Courage,0.745542
1995,Babe,14.404764
1995,Carrington,1.493361
1995,Dead Man Walking,6.891317
1995,Across the Sea of Time,0.114469
1995,It Takes Two,7.777735
1995,Clueless,9.882383
1995,"Cry, the Beloved Country",0.894647
1995,Richard III,4.561387
1995,Dead Presidents,9.87957
1995,Restoration,10.979269
1995,Mortal Kombat,10.870138
1995,To Die For,10.448481
1995,How To Make An American Quilt,4.485958
1995,Se7en,18.45743
1995,Pocahontas,13.280069
1995,When Night Is Falling,3.302524
1995,The Usual Suspects,16.302466
1994,Guardian Angel,0.595949
1995,Mighty Aphrodite,15.899134
1994,Lamerica,1.361286
1995,The Big Green,5.982764
1995,Georgia,4.093443
1997,Kids of the Round Table,0.307075
1995,Home for the Holidays,8.416802
1994,The Postman,10.168437
1995,The Confessional,0.120789
1995,The Indian in the Cupboard,10.673296
1996,Eye for an Eye,4.733526
1995,Mr. Holland's Opus,7.137117
1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115
1996,Two If by Sea,2.174487
1996,Bio-Dome,6.387469
1996,Lawnmower Man 2: Beyond Cyberspace,2.49535
1995,Two Bits,4.046208
1995,French Twist,2.518051
1995,Friday,14.56965
1996,From Dusk Till Dawn,15.339153
1995,Fair Game,5.912223
1995,Kicking and Screaming,3.367276
1995,Les Miserables,1.479446
1996,Bed of Roses,10.412194
1996,Big Bully,2.936443
1995,Screamers,12.758848
1995,Nico Icon,0.133893
1995,The Crossing Guard,5.756462
1996,The Juror,6.010579
1995,The White Balloon,1.196256
1995,Things to Do in Denver When You're Dead,4.486179
1995,Antonia's Line,2.030174
1996,Once Upon a Time... When We Were Colored,0.252287
1995,Last Summer in the Hamptons,0.531159
1995,Angels and Insects,2.15166
1996,White Squall,9.568604
1996,Dunston Checks In,4.814825
1996,Black Sheep,8.963037
1995,Nick of Time,6.848591
1995,The Journey of August King,0.411424
1996,Mary Reilly,12.866139
1995,Vampire in Brooklyn,9.071127
1996,Beautiful Girls,4.670562
1996,Broken Arrow,14.957626
1995,A Midwinter's Tale,0.513391
1995,La Haine,12.108196
1994,Shopping,2.657647
1995,Heidi Fleiss: Hollywood Madam,0.638211
1996,City Hall,4.807223
1996,Bottle Rocket,6.904831
1996,Mr. Wrong,3.329264
1996,Unforgettable,2.464425
1996,Happy Gilmore,9.592265
1995,The Bridges of Madison County,5.951077
1994,Nobody Loves Me,1.015068
1996,Muppet Treasure Island,6.902423
1995,Catwalk,0.976707
1995,Headless Body in Topless Bar,0.001346
1995,Braveheart,20.755149
1976,Taxi Driver,14.092713
1995,Rumble in the Bronx,12.314278
1996,Before and After,2.938293
1995,Margaret's Museum,0.372697
1995,Happiness Is in the Field,1.254885
1995,Anne Frank Remembered,0.243986
1995,The Young Poisoner's Handbook,6.178497
1996,If Lucy Fell,2.891918
1995,Steal Big Steal Little,1.522412
1996,Race the Sun,1.317878
1992,The Boys of St. Vincent,0.86539
1992,Boomerang,6.506983
1994,Chungking Express,6.778979
1995,The Star Maker,1.702639
1996,Flirting with Disaster,5.579088
1994,The Neverending Story III: Escape from Fantasia,6.252377
1994,The Silences of the Palace,0.406754
1995,Jupiter's Wife,0.001178
1996,Pie in the Sky,0.699066
1995,Angela,2.197439
1995,Frankie Starlight,0.637554
1995,Jade,11.418917
1995,Nueba Yol,0.291021
1995,Sonic Outlaws,0.001838
1996,Down Periscope,5.184977
1995,From the Journals of Jean Seberg,0.276401
1995,Man of the Year,0.540436
1995,The Neon Bible,0.370342
1995,Target,0.001205
1996,Up Close & Personal,3.402749
1996,The Birdcage,6.49968
1995,Virgin Mary,0.918504
1995,The Brothers McMullen,2.039196
1995,Bad Boys,9.262184
1995,The Amazing Panda Adventure,2.375865
1995,The Basketball Diaries,7.415144
1995,An Awfully Big Adventure,0.922958
1994,Amateur,1.759012
1995,Apollo 13,18.761467
1995,Rob Roy,10.193549
1995,The Addiction,3.137285
1995,Batman Forever,13.321354
1967,Belle de Jour,10.142662
1995,Beyond Rangoon,2.04189
1995,Blue in the Face,11.528147
1995,Canadian Bacon,5.391556
1995,Casper,12.812539
1995,Clockers,4.558992
1995,Congo,7.260574
1995,Crimson Tide,8.657365
1994,Crumb,3.620388
1995,Desperado,6.950458
1995,Devil in a Blue Dress,4.646132
1995,Die Hard: With a Vengeance,15.138855
1995,The Doom Generation,7.120806
1995,Feast of July,0.523575
1995,First Knight,15.178338
1995,Free Willy 2 - The Adventure Home,7.575098
1995,Hackers,14.810519
1995,Jeffrey,3.196456
1995,Johnny Mnemonic,11.715868
1995,Judge Dredd,8.184815
1995,Jury Duty,3.676921
1995,Kids,4.877872
1995,Living in Oblivion,10.058329
1995,Lord of Illusions,4.102409
1993,Love & Human Remains,0.354014
1995,Mad Love,2.624771
1995,Mallrats,8.25547
1995,Mighty Morphin Power Rangers: The Movie,7.024227
1995,Moonlight and Valentino,1.01115
1995,Mute Witness,2.466066
1994,Nadja,7.720056
1995,The Net,13.304342
1995,Nine Months,8.482834
1995,Party Girl,1.165039
1995,The Prophecy,10.187623
1995,Reckless,0.119713
1995,Safe,8.180047
1995,The Scarlet Letter,6.752119
1995,The Show,0.159596
1995,Showgirls,17.502375
1995,Smoke,5.552946
1995,Something to Talk About,3.743212
1995,Species,13.492845
1995,The Stars Fell on Henrietta,0.913522
1995,Strange Days,11.223055
1964,The Umbrellas of Cherbourg,8.133881
1995,The Tie That Binds,1.820419
1995,Three Wishes,11.002046
1995,Total Eclipse,4.546552
1995,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446
1995,Under Siege 2: Dark Territory,7.490247
1995,Unstrung Heroes,2.881689
1995,Unzipped,0.786023
1995,A Walk in the Clouds,9.715639
1995,Waterworld,16.885184
1995,White Man's Burden,1.834099
1995,Wild Bill,8.922139
1994,The Browning Version,3.727644
1995,Bushwhacked,3.287036
1994,Burnt by the Sun,2.486073
1994,Before the Rain,3.525649
1995,Before Sunrise,11.304979
1995,Billy Madison,6.638116
1995,The Babysitter,2.761837
1995,Boys on the Side,3.030309
1995,The Cure,2.686342
1995,Castle Freak,2.26977
1995,Circle of Friends,2.605521
1994,Clerks,10.513367
1994,Don Juan DeMarco,7.438934
1994,Disclosure,11.812244
1995,Dream Man,0.155859
1994,Drop Zone,9.579155
1995,Destiny Turns on the Radio,0.710671
1994,Death and the Maiden,5.484156
1995,Dolores Claiborne,5.8025
1994,Dumb and Dumber,9.844558
1994,Eat Drink Man Woman,4.860016
1994,Exotica,5.378467
1994,Exit to Eden,4.322726
1994,Ed Wood,11.720358
1995,French Kiss,9.146544
1995,Forget Paris,16.236745
1995,Far from Home: The Adventures of Yellow Dog,2.657337
1995,A Goofy Movie,10.177977
1995,Hideaway,8.182165
1995,Fluke,4.953936
1994,Farinelli,8.935058
1995,Gordy,0.398924
1995,Gumby: The Movie,0.090452
1994,The Glass Shield,1.012197
1994,Hoop Dreams,9.47666
1994,Heavenly Creatures,9.438042
1995,Houseguest,2.688562
1994,Immortal Beloved,7.983666
1995,Heavyweights,9.546707
1995,The Hunted,2.756986
1994,I.Q.,5.146352
1994,Interview with the Vampire,11.970205
1995,Jefferson in Paris,1.596058
1995,The Jerky Boys,0.748846
1994,Junior,6.710215
1995,Just Cause,9.195256
1995,A Kid in King Arthur's Court,5.874511
1995,Kiss of Death,7.797512
1977,Star Wars,42.149697
1994,Little Women,9.774994
1995,A Little Princess,7.731725
1994,Ladybird Ladybird,0.84508
1994,L'Enfer,1.948315
1992,Like Water for Chocolate,4.126083
1994,Legends of the Fall,12.199047
1995,Major Payne,9.253362
1994,Little Odessa,1.861292
1994,Mi Vida Loca,1.788829
1994,Love Affair,3.290192
1995,Losing Isaiah,7.698526
1994,The Madness of King George,4.81307
1994,Mary Shelley's Frankenstein,14.287753
1995,Man of the House,2.558118
1994,Mixed Nuts,2.899608
1994,Milk Money,3.770115
1994,Miracle on 34th Street,5.831622
1995,Miami Rhapsody,1.137266
1995,My Family,3.121288
1995,Murder in the First,9.518564
1994,Nobody's Fool,2.891269
1994,Nell,5.930957
1995,New Jersey Drive,0.629955
1993,New York Cop,0.004537
1994,Beyond Bedlam,0.426952
1995,Nemesis 2 - Nebula,1.466491
1995,Nina Takes a Lover,0.769522
1994,Natural Born Killers,11.226856
1994,Only You,4.936761
1994,Once Were Warriors,4.025276
1996,Poison Ivy II: Lily,6.448039
1995,Outbreak,13.676444
1994,Leon: The Professional,20.477329
1995,The Perez Family,1.433544
1995,A Pyromaniac's Love Story,0.463307
1994,Pulp Fiction,140.950236
1995,Panther,7.160149
1992,Pushing Hands,1.638622
1994,Priest,1.881932
1994,Quiz Show,7.772505
1995,Picture Bride,1.296912
1994,Queen Margot,4.405405
1995,The Quick and the Dead,7.54701
1995,Roommates,3.395867
1994,Prêt-à-Porter,6.259433
1994,Three Colors: Red,7.832755
1993,Three Colors: Blue,8.843517
1994,Three Colors: White,6.5898
1994,"Red Firecracker, Green Firecracker",0.078257
1995,Rent-a-Kid,1.155255
1995,Relative Fear,0.499601
1995,Stuart Saves His Family,1.390885
1994,The Swan Princess,8.910462
1994,The Secret of Roan Inish,1.750481
1994,The Specialist,10.388183
1994,Stargate,13.328924
1994,The Santa Clause,9.665424
1994,The Shawshank Redemption,51.645403
1994,Shallow Grave,8.223026
1993,Suture,1.298224
1993,Strawberry and Chocolate,1.777197
1994,Swimming with Sharks,5.869261
1994,The Sum of Us,1.407427
1995,Senior Trip,5.05806
1994,To Live,5.260627
1995,Tank Girl,7.602087
1995,Tales from the Crypt: Demon Knight,9.455342
1994,Star Trek: Generations,8.105708
1995,Tales from the Hood,2.86007
1994,Tom & Viv,0.704204
1995,Village of the Damned,6.529879
1995,Tommy Boy,11.971318
1994,Vanya on 42nd Street,7.039846
1995,The Underneath,2.059771
1995,The Walking Dead,0.620873
1993,What's Eating Gilbert Grape,10.3919
1995,Virtuosity,5.188399
1995,While You Were Sleeping,15.783615
1994,The War,3.908596
1994,Double Happiness,0.372239
1994,Muriel's Wedding,5.254847
1995,The Baby-Sitters Club,2.15805
1994,Ace Ventura: Pet Detective,11.247957
1994,"The Adventures of Priscilla, Queen of the Desert",8.328596
1994,Backbeat,2.487951
1992,Bitter Moon,11.298195
1994,Bullets Over Broadway,5.72288
1994,Clear and Present Danger,7.513245
1994,The Client,15.263829
1994,"Corrina, Corrina",6.924689
1994,Crooklyn,2.533022
1994,The Crow,15.799336
1994,Cobb,2.583363
1994,The Flintstones,15.019586
1994,Forrest Gump,48.307194
1994,Four Weddings and a Funeral,8.990345
1995,Higher Learning,7.817811
1994,I Like It Like That,0.289295
1994,I Love Trouble,3.570874
1994,It Could Happen to You,11.272073
1994,The Jungle Book,10.714235
1993,"The Wonderful, Horrible Life of Leni Riefenstahl",0.568884
1994,The Lion King,21.605761
1993,Little Buddha,5.681522
1994,New Nightmare,9.860522
1994,The Mask,14.13488
1994,Maverick,15.050326
1994,Mrs. Parker and the Vicious Circle,4.739054
1994,The Naked Gun 33⅓: The Final Insult,10.587232
1994,The Paper,4.006063
1994,Reality Bites,6.514592
1993,Red Rock West,5.137903
1994,Ri¢hie Ri¢h,6.595255
