title,release_year,vote_count_max,vote_average_prom
!Women Art Revolution,2010,2.0,4.3
#1 Cheerleader Camp,2010,23.0,3.4
#Horror,2015,53.0,3.4
#chicagoGirl,2013,1.0,7.0
"$1,000 on the Black",1966,2.0,6.0
"$100,000 for Ringo",1965,1.0,5.0
$5 a Day,2008,24.0,6.0
$50K and a Call Girl: A Love Story,2014,11.0,6.3
$9.99,2008,28.0,6.0
$ellebrity,2013,9.0,5.5
'49-'17,1917,0.0,0.0
'71,2014,414.0,6.7
'D',2005,3.0,5.8
'Gator Bait,1974,2.0,6.5
'Master Harold'... and the Boys,1985,3.0,6.3
'Neath the Arizona Skies,1934,9.0,3.7
'R Xmas,2001,3.0,5.3
'Til Madness Do Us Part,2013,6.0,6.8
'Tis the Season for Love,2015,11.0,6.0
'Twas the Night,2001,4.0,5.1
'Twas the Night Before Christmas,1974,11.0,5.9
"'night, Mother",1986,6.0,5.8
(500) Days of Summer,2009,2993.0,7.2
(A)Sexual,2011,6.0,5.7
(Absolutions) Pipilotti's Mistakes,1988,0.0,0.0
(Dis)Honesty: The Truth About Lies,2015,21.0,6.8
(T)ERROR,2015,12.0,6.8
(Untitled),2009,16.0,6.6
+1,2013,91.0,5.3
...All the Marbles,1981,7.0,7.3
...And God Created Woman,1956,43.0,6.2
...And Justice for All,1979,118.0,7.1
...And the Pursuit of Happiness,1986,3.0,8.3
...E fuori nevica!,2014,26.0,5.7
...ing,2003,17.0,6.6
...tick... tick... tick...,1970,7.0,6.2
.45,2006,49.0,5.2
00 Schneider - Jagd auf Nihil Baxter,1994,16.0,6.5
008: Operation Exterminate,1965,0.0,0.0
009 Re: Cyborg,2012,11.0,5.7
009-1: The End of the Beginning,2013,3.0,3.5
06/05,2004,6.0,5.6
08/15,1954,4.0,5.9
1,2013,36.0,7.3
1 - Nenokkadine,2014,13.0,5.8
1 Chance 2 Dance,2014,16.0,5.6
1 Litre of Tears,2005,7.0,7.7
1 Mile to You,2017,29.0,6.7
1 Night,2017,30.0,6.2
1 P.M.,1972,2.0,7.0
1-900,1994,1.0,5.0
1. Mai – Helden bei der Arbeit,2008,1.0,2.0
10,1979,69.0,5.4
10 000 timmar,2014,6.0,4.8
10 Attitudes,2001,2.0,3.0
10 Billion: What's On Your Plate,2015,2.0,7.0
10 Cent Pistol,2015,7.0,4.4
10 Cloverfield Lane,2016,2537.0,6.8
10 Days in a Madhouse,2015,5.0,4.3
10 Items or Less,2006,50.0,6.6
10 MPH,2007,1.0,9.0
10 Minutes,2002,7.0,6.6
10 Minutes,2014,2.0,7.5
10 Questions for the Dalai Lama,2006,3.0,6.3
10 Rillington Place,1971,45.0,6.9
10 Rules for Sleeping Around,2014,23.0,3.9
10 Things I Hate About You,1999,1768.0,7.3
10 Years,2011,161.0,5.7
10 to Midnight,1983,37.0,6.1
10%: What Makes a Hero?,2013,0.0,0.0
10+10,2011,1.0,5.0
"10,000 BC",2008,934.0,5.1
"10,000 Black Men Named George",2002,0.0,0.0
"10,000 Days",2014,4.0,3.0
"10,000 Dollars for a Massacre",1967,6.0,6.3
"10,000 km",2014,33.0,6.3
10.0 Earthquake,2014,28.0,4.3
10.5,2004,21.0,5.9
10.5: Apocalypse,2006,33.0,4.9
100 Bloody Acres,2012,43.0,6.2
100 Days,1991,0.0,0.0
100 Days with Mr. Arrogant,2004,30.0,6.1
100 Degrees Below Zero,2013,23.0,3.6
100 Feet,2008,96.0,5.6
100 Ghost Street: The Return of Richard Speck,2012,8.0,4.8
100 Girls,2000,119.0,5.6
100 Meters,2016,35.0,7.6
100 Million BC,2008,26.0,3.1
100 Rifles,1969,24.0,5.5
100 Streets,2016,44.0,6.2
100 Ways to Murder Your Wife,1986,1.0,4.0
100 Women,2002,9.0,4.7
100 Years at the Movies,1994,6.0,8.0
100 Yen: The Japanese Arcade Experience,2012,5.0,4.8
100 grams for Bravery,1976,2.0,4.0
100 years of evil,2010,1.0,5.5
100% Love,2011,9.0,5.4
1000 Journals,2007,1.0,8.0
1000 To 1,2014,14.0,6.0
1001 Grams,2014,11.0,5.7
1001 Nights,1990,7.0,4.9
101 Dalmatians,1996,722.0,5.6
101 Dalmatians II: Patch's London Adventure,2003,231.0,5.7
101 Rent Boys,2000,2.0,7.0
101 Reykjavik,2000,34.0,6.7
102 Dalmatians,2000,327.0,5.1
102 Minutes That Changed America,2008,12.0,7.0
1066: The Battle for Middle Earth,2009,0.0,0.0
10th & Wolf,2006,26.0,6.3
11 A.M.,2013,10.0,5.5
11 Blocks,2015,2.0,3.0
11 Flowers,2011,4.0,7.3
11 Harrowhouse,1974,4.0,6.8
11 Minutes,2015,15.0,5.9
11 Minutes Ago,2007,3.0,4.3
11 x 14,1977,1.0,7.0
11'09''01 - September 11,2002,24.0,6.1
11-11-11,2011,77.0,4.3
11.22.63,2016,213.0,8.0
11.6,2013,45.0,5.7
11/11/11,2011,13.0,2.2
112 Weddings,2014,3.0,6.7
11:11,2004,15.0,2.7
11:14,2003,211.0,6.8
11:55,2017,6.0,5.0
11:59,2005,3.0,4.0
12,2007,54.0,6.6
12 Angry Men,1957,2130.0,8.2
12 Angry Men,1997,59.0,7.5
12 Chairs,1971,24.0,7.3
12 Chairs,1976,16.0,7.4
12 Dates of Christmas,2011,56.0,5.6
12 Days of Christmas Eve,2004,5.0,5.0
12 Days of Terror,2005,10.0,5.2
12 Dicembre,1972,0.0,0.0
12 Feet Deep,2016,62.0,5.1
12 Gifts of Christmas,2015,20.0,5.8
12 O’Clock Boys,2013,15.0,6.2
12 Paces without a Head,2009,9.0,7.2
12 Rounds,2009,223.0,5.7
12 Rounds 2: Reloaded,2013,101.0,5.6
12 Rounds 3: Lockdown,2015,41.0,4.6
12 Storeys,1997,3.0,5.0
12 Wishes of Christmas,2011,10.0,5.8
12 Years a Slave,2013,3787.0,7.9
12 to the Moon,1960,4.0,2.6
120,2008,2.0,7.5
125 Years Memory,2015,3.0,8.3
127 Hours,2010,2668.0,7.0
12:01,1993,33.0,6.2
12:01 PM,1990,6.0,5.8
12:08 East of Bucharest,2006,22.0,6.5
12th & Delaware,2010,4.0,8.4
13,2010,247.0,5.9
13 Assassins,2010,362.0,7.1
13 Beloved,2006,50.0,6.4
13 Cameras,2015,32.0,5.5
13 Curses,2002,1.0,6.0
13 Eerie,2013,37.0,4.4
13 Fighting Men,1960,0.0,0.0
